Severity,Customer Record ID,Account Name,Case Number,Status,Date/Time Opened,Date/Time Closed,Resolution Time,Ambari Version,Stack Version,Product Component,Apache BugID URL,Hortonworks BugID URL,HOTFIX BugID URL,EAR URL,Root Cause,Enhancement Request Number,Environment
S1 - Production Down,315533313,Tm92b3p5bWVzIEEvUw==,107786,Closed,20170104 091337.000,20170123 061401.000,18 days 21 hours0 mn,2.4,2.5,Hbase,,,,,Unreproducible,,ENV-00926
S1 - Production Down,469628425,VW5pdGVkIEFpcmxpbmVz,107858,Closed,20170104 192218.000,20170210 191234.000,36 days 23 hours50 mn,2.2.2,2.3.4,HDFS,,,,,Unreproducible,,
S1 - Production Down,509961757,TWVya2xl,107890,Closed,20170104 233754.000,20170203 231211.000,29 days 23 hours34 mn,2.4.1.0,2.2.0,Hbase,,,,,Education - Configuration,,
S1 - Production Down,1532821443,Tm9raWEgU29sdXRpb25zIGFuZCBOZXR3b3JrcyBTeXN0ZW0gVGVjaG5vbG9neSAoQmVpamluZykgQ28uLCBMdGQu,107908,Closed,20170105 045843.000,20170105 064933.000,0 days 1 hours51 mn,1.7.0,2.2.0,Hbase,,,,,Education - Non Configuration,,
S1 - Production Down,1354050117,S0FZQUsgU29mdHdhcmUgQ29ycG9yYXRpb24=,107994,Closed,20170105 202802.000,20170105 234250.000,0 days 3 hours15 mn,2.4.1.0,2.4.3,HDFS,,,,,Working as Designed,,
S1 - Production Down,686846890,VC1Nb2JpbGUgRW5nIEludGVsICYgQW5hbHl0aWNz,108002,Closed,20170105 214602.000,20170109 184323.000,0 days 1 hours23 mn,2.2.2,2.4.2,HDFS,,,,,Education - Non Configuration,,
S1 - Production Down,1717802065,RElSRUNUVg==,108006,Closed,20170105 220630.000,20170106 010732.000,0 days 0 hours52 mn,2.4.2.0,2.2.8,Ambari,,,,,Education - Non Configuration,,ENV-01004
S1 - Production Down,904932201,V2FsLU1hcnQgU3RvcmVzIEluYy4=,108117,Closed,20170106 224529.000,20170107 011504.000,0 days 2 hours30 mn,2.2.2,2.4.2,Ambari,,,,,Third Party Issue,,
S1 - Production Down,1308420533,U3RhbmRhcmQgQ2hhcnRlcmVkIEJhbmsgKFNpbmdhcG9yZSk=,108137,Closed,20170107 025348.000,20170107 041025.000,0 days 1 hours17 mn,2.4.2.0,2.4.2,Ambari,,,,,Working as Designed,,
S1 - Production Down,1489423845,Q29tY2FzdA==,108143,Closed,20170107 054102.000,20170110 211739.000,3 days 15 hours37 mn,2.4.1.0,2.4.3,HDFS,,,,,Education - Configuration,,ENV-00234
S1 - Production Down,2053538263,VmlzdWFsIElR,108145,Closed,20170107 094449.000,20170130 094443.000,9 days 5 hours23 mn,2.2.0,2.4.0,Hive,,,,,Customer Environment (Non HDP),,ENV-00534
S1 - Production Down,1811065029,Q29tY2FzdA==,108146,Closed,20170107 172914.000,20170110 211929.000,0 days 5 hours8 mn,2.4.1.0,2.4.3,Accumulo,,,,https://hortonworks.jira.com/browse/EAR-5255,Use Case Advice,,ENV-00234
S1 - Production Down,22163030,UGl2b3RhbCwgSW5j,108190,Closed,20170109 121942.000,20170112 141815.000,3 days 1 hours59 mn,Not using Ambari,2,HDFS,,,,,Unreproducible,,
S1 - Production Down,2134298624,Q294IENvbW11bmljYXRpb25z,108192,Closed,20170109 130549.000,20170109 171439.000,0 days 4 hours9 mn,2.2.2,2.4.2,Zookeeper,,,,,Documentation – Gap,,
S1 - Production Down,459332711,Q29ub2NvUGhpbGxpcHM=,108235,Closed,20170109 190246.000,20170110 153811.000,0 days 20 hours32 mn,2.2.0,2.3.4,Hive,,,,,Use Case Advice,,
S1 - Production Down,1305890247,QWNjZW50dXJlIENJTw==,108238,Closed,20170109 191811.000,20170109 200459.000,0 days 0 hours47 mn,2.4.1.0,2.3.4,Ranger,,,,,Education - Configuration,,
S1 - Production Down,369903363,Q2hpbGRyZW4ncyBIb3NwaXRhbCBMb3MgQW5nZWxlcw==,108247,Closed,20170109 195845.000,20170109 211912.000,0 days 1 hours20 mn,2.4.2.0,2.5,Ambari,,,,,Education - Configuration,,
S1 - Production Down,1109773790,WnVsaWx5,108255,Closed,20170109 204849.000,20170109 235301.000,0 days 3 hours4 mn,2.0.0,2.5,Hive,,,,,Working as Designed,,ENV-00312
S1 - Production Down,450049271,SG9tZSBEZXBvdA==,108280,Closed,20170109 231123.000,20170130 211256.000,20 days 22 hours2 mn,,2.4.2,HDFS,,,,,Education - Configuration,,
S1 - Production Down,1725746345,RGFpbWxlciBUcnVja3MgTm9ydGggQW1lcmljYQ==,108294,Closed,20170110 005732.000,20170116 160524.000,6 days 15 hours8 mn,2.4.1.0,2.5.3,Hbase,,,,,Education - Configuration,,
S1 - Production Down,824269803,RGFpbWxlciBUcnVja3MgTm9ydGggQW1lcmljYQ==,108295,Closed,20170110 005733.000,20170110 030720.000,0 days 2 hours10 mn,2.4.1.0,2.5.3,Hbase,,,,,Duplicate Case,,
S1 - Production Down,1607857646,Q29ub2NvUGhpbGxpcHM=,108314,Closed,20170110 074040.000,20170110 092240.000,0 days 1 hours42 mn,2.2.0,2.3.4,Ambari,,,,,Education - Configuration,,ENV-00639
S1 - Production Down,547595386,VmVyaXpvbg==,108358,Closed,20170110 173922.000,20170112 190851.000,2 days 1 hours29 mn,2.2.0,2.3.4,HDFS,,,,,Working as Designed,,
S1 - Production Down,117373738,SW50YWN0IEZpbmFuY2lhbCBDb3Jwb3JhdGlvbg==,108400,Closed,20170110 220722.000,20170221 113337.000,5 days 16 hours59 mn,2.4.0.1,2.4.0,Cloudbreak,,,,,Education - Configuration,,
S1 - Production Down,1103832690,SXRzT24sIEluYw==,108406,Closed,20170110 223225.000,20170113 235344.000,0 days 0 hours41 mn,2.4,2.3.6.0,Hbase,,,,,Working as Designed,,
S1 - Production Down,699583835,TW91bnQgU2luYWkgSG9zcGl0YWw=,108413,Closed,20170110 235510.000,20170111 015949.000,0 days 2 hours5 mn,,2.1.0,Ambari (HDF),,,,,Education - Configuration,,
S1 - Production Down,1036835193,SXRzT24sIEluYw==,108498,Closed,20170111 183316.000,20170111 190519.000,0 days 0 hours32 mn,2.4,2.3.6.0,YARN,,,,,Use Case Advice,,
S1 - Production Down,993903262,QXBwbGUgSW5jLg==,108502,Closed,20170111 185839.000,20170112 185653.000,0 days 1 hours38 mn,2.2.1.1,2.2.9,Hive,,,,,Use Case Advice,,ENV-00034
S1 - Production Down,1007784792,SXRzT24sIEluYw==,108512,Closed,20170111 204118.000,20170112 013332.000,0 days 3 hours34 mn,2.4,2.3.6.0,Ambari,,,,,Customer Environment (Non HDP),,
S1 - Production Down,1769591532,R2Vpc2luZ2VyIFN5c3RlbSBTZXJ2aWNlcw==,108524,Closed,20170111 223024.000,20170111 232519.000,0 days 0 hours55 mn,2.4.1.0,2.5,HDFS,,,,,Working as Designed,,ENV-00669
S1 - Production Down,946441506,VmVyaXpvbg==,108542,Closed,20170112 032530.000,20170127 095611.000,0 days 6 hours21 mn,2.2.2,2.3.4,Ambari,,,,,Unreproducible,,
S1 - Production Down,1760146966,TWljcm9uIFRlY2hub2xvZ3k=,108544,Closed,20170112 045715.000,20170223 060536.000,7 days 9 hours41 mn,2.2.2,2.3.4,Hive,,,,,Unreproducible,,
S1 - Production Down,1292913577,UmVsaWFuY2U=,108547,Closed,20170112 053055.000,20170112 064016.000,0 days 1 hours9 mn,2.2.1.1,2.4.0,Kafka,,,,,Education - Configuration,,
S1 - Production Down,18631292,RGFuc2tlIEJhbms=,108568,Closed,20170112 113402.000,20170112 143030.000,0 days 2 hours56 mn,2.4.2.0,2.5.3,Ambari,,,,,Education - Configuration,,
S1 - Production Down,692150542,U3ltYW50ZWM=,108573,Closed,20170112 124446.000,20170112 194716.000,0 days 7 hours3 mn,2.4.1.0,2.3.4,Kafka,,,,,Education - Configuration,,
S1 - Production Down,1695437438,RmxvcmlkYSBQb3dlciAmIExpZ2h0,108602,Closed,20170112 164646.000,20170113 161057.000,0 days 23 hours24 mn,2.4.1.0,2.5,Zookeeper,,,,,Education - Non Configuration,,ENV-00716
S1 - Production Down,1584146011,RmxvcmlkYSBQb3dlciAmIExpZ2h0,108603,Closed,20170112 164647.000,20170112 165946.000,0 days 0 hours13 mn,2.4.1.0,2.5,Zookeeper,,,,,Duplicate Case,,ENV-00716
S1 - Production Down,1683435411,Um9zcyBTdG9yZXM=,108630,Closed,20170112 195643.000,20170112 212330.000,0 days 1 hours27 mn,2.4.2.0,2.4.3,Ambari,,,,,Working as Designed,,ENV-00825
S1 - Production Down,43787080,RnJlZXBvcnQtTWNNb1JhbiBDb3BwZXIgJiBHb2xk,108633,Closed,20170112 201452.000,20170112 232056.000,0 days 3 hours4 mn,2.2.0,2.3.4,Ambari,,,,,Education - Configuration,,ENV-00683
S1 - Production Down,2043536769,VW5pdGVkIEFpcmxpbmVz,108646,Closed,20170112 215332.000,20170113 001436.000,0 days 2 hours17 mn,2.4.2.0,2.3.4,Ambari,,,,,Education - Configuration,,
S1 - Production Down,403538087,VW5pdGVkIEFpcmxpbmVz,108675,Closed,20170113 023842.000,20170208 044210.000,11 days 1 hours54 mn,2.4.2.0,2.5.3,Ranger,,,,https://hortonworks.jira.com/browse/EAR-5281,Unreproducible,,
S1 - Production Down,228479422,QmFuayBvZiBFbmdsYW5k,108697,Closed,20170113 102414.000,20170127 145330.000,14 days 4 hours29 mn,2.4.2.0,2.4.2,Hive,,,,,Education - Configuration,,
S1 - Production Down,1807777032,UGF5dmlzaW9u,108715,Closed,20170113 144727.000,20170113 161618.000,0 days 1 hours29 mn,2.4.2.0,2.5,HDFS,,https://hortonworks.jira.com/browse/BUG-72284,,,Product Defect,,
S1 - Production Down,1478171930,RXJuc3QgJiBZb3VuZyAoIEN1c3RvbWVyKQ==,108732,Closed,20170113 155953.000,20170113 161915.000,0 days 0 hours12 mn,2.2.1.1,2.4.0,YARN,,,,,Education - Configuration,,ENV-00836
S1 - Production Down,2094301303,TW91bnQgU2luYWkgSG9zcGl0YWw=,108736,Closed,20170113 161407.000,20170303 234731.000,49 days 7 hours33 mn,2.4.1.0,2.5,Phoenix,https://issues.apache.org/jira/browse/PHOENIX-2930,https://hortonworks.jira.com/browse/BUG-75177,,https://hortonworks.jira.com/browse/EAR-5493,Unreproducible,,
S1 - Production Down,1184339619,U3RhdGUgRmFybSBJbnN1cmFuY2U=,108777,Closed,20170113 210729.000,20170124 221253.000,10 days 21 hours57 mn,2.2.0,2.2.9,Hbase,,,,,Education - Non Configuration,,
S1 - Production Down,69404381,R29sZG1hbiBTYWNocyBHcm91cCwgSW5jLg==,108786,Closed,20170113 221106.000,20170116 195055.000,0 days 2 hours11 mn,,2.2.0,HDFS,,,,,Education - Non Configuration,,
S1 - Production Down,1960656339,QWR2YW5jZWQgTWljcm8gRGV2aWNlcw==,108812,Closed,20170114 172000.000,20170116 021443.000,1 days 8 hours55 mn,2.4.1.0,2.5,Ambari,,,,,Education - Configuration,,
S1 - Production Down,1083980950,QmFuayBvZiBOb3ZhIFNjb3RpYQ==,108824,Closed,20170115 234442.000,20170116 015750.000,0 days 2 hours13 mn,2.4.1.0,2.3.4,YARN,,,,,Customer Environment (Non HDP),,ENV-00942
